update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,606.0818620331273,3,0.1803977261438514,0.27451400088240635,0.0,0.7749999761581421,53.75757575757576,16.633355140017837,16.0,64.0,1.9309659898281097,0.08362231263890862,-0.010471780697116628,0.01057911998941563,0.037333496274953394,0.1803977261438514,0.27451400088240635,0.0,0.7749999761581421
2,4096,1209.07238978426,5,0.2431640639901161,0.3318530209265302,0.0,0.8453124761581421,49.375,20.372392471185115,11.0,64.0,1.9336837232112885,0.11015439638867974,-0.0179055933986092,0.017149106628494337,0.030682294948285012,0.2431640639901161,0.3318530209265302,0.0,0.8453124761581421
3,6144,1109.7480144854871,6,0.175669641154153,0.30691079087001455,0.0,0.9859374761581421,53.74285714285714,19.115203907051665,1.0,64.0,1.9112411998212337,0.10178172681480646,0.014625947776949033,0.00801609551126603,0.03248977307045015,0.175669641154153,0.30691079087001455,0.0,0.9859374761581421
4,8192,1153.4032020811367,8,0.14354440805159116,0.2939850632004511,0.0,0.971875011920929,55.28947368421053,18.188932283609404,2.0,64.0,1.914007045328617,0.09554790635593235,0.015664196282159537,0.009743469705426833,0.03804986176295584,0.14354440805159116,0.2939850632004511,0.0,0.971875011920929
5,10240,1234.3016317045792,10,0.13828124892380503,0.2801791658151723,0.0,0.957812488079071,55.94444444444444,17.365266169448784,3.0,64.0,1.9146679602563381,0.09737646323628724,0.01147455295722466,0.008405971973843407,0.03251124064297485,0.13828124892380503,0.2801791658151723,0.0,0.957812488079071
6,12288,1117.131780937503,12,0.2118832218019586,0.3238814568720856,0.0,0.9859374761581421,51.55263157894737,20.171237167419008,1.0,64.0,1.9000767767429352,0.08253481821157038,-0.015194948811767972,0.012153883508290164,0.03126190202327013,0.2118832218019586,0.3238814568720856,0.0,0.9859374761581421
7,14336,1209.3462753610925,14,0.18886718675494193,0.3286088655668084,0.0,0.971875011920929,52.525,20.43647168666842,2.0,64.0,1.8782233484089375,0.08073357632383704,-0.0024531773815397173,0.011874046707816888,0.03941573289138793,0.18886718675494193,0.3286088655668084,0.0,0.971875011920929
8,16384,1123.183226444877,15,0.17972756425539652,0.3028081398682884,0.0,0.971875011920929,53.58974358974359,18.80768793805553,2.0,64.0,1.8846322372555733,0.0784496481064707,0.0070373795460909605,0.007510552059102338,0.0266396948748198,0.17972756425539652,0.3028081398682884,0.0,0.971875011920929
9,18432,917.5432716808634,18,0.25987215915864165,0.34674393011083415,0.0,0.957812488079071,48.59090909090909,21.703914793312563,3.0,64.0,1.8651008047163486,0.08918901113793254,-0.019625582557637244,0.015767588032758795,0.047816376597353355,0.25987215915864165,0.34674393011083415,0.0,0.957812488079071
10,20480,1067.0711620145612,20,0.2802688929923745,0.3585184762451924,0.0,0.9859374761581421,47.04651162790697,22.304398865728096,1.0,64.0,1.873862560838461,0.13207128597423434,-0.005321571919921553,0.01689249963965267,0.04542653045212586,0.2802688929923745,0.3585184762451924,0.0,0.9859374761581421
11,22528,1027.4160208986862,22,0.18757812380790712,0.27784877934467084,0.0,0.887499988079071,53.15,16.690641090143902,8.0,64.0,1.8732815012335777,0.10615490400232375,-0.003024068533704849,0.01204132495331578,0.046261703881368625,0.18757812380790712,0.27784877934467084,0.0,0.887499988079071
12,24576,1010.2285053137954,24,0.32006391950628976,0.36718461761778715,0.0,0.9859374761581421,44.79545454545455,23.077517143762694,1.0,64.0,1.8477057740092278,0.13023102399893105,-0.016517727490281686,0.021313645120244473,0.058211630223919716,0.32006391950628976,0.36718461761778715,0.0,0.9859374761581421
13,26624,1032.8586947163885,26,0.22518601162093027,0.3355867842682968,0.0,0.957812488079071,50.357142857142854,20.70981068246162,3.0,64.0,1.8303067795932293,0.11341489106416702,0.0025086601708608214,0.015237837462336756,0.05372636548665533,0.22518601162093027,0.3355867842682968,0.0,0.957812488079071
14,28672,1179.7730412528158,27,0.2685639886629014,0.3485184363500877,0.0,0.957812488079071,48.11904761904762,21.863431505328908,3.0,64.0,1.8156681470572948,0.11601515160873532,-0.0002905558067141101,0.017040925071341917,0.06534414003298439,0.2685639886629014,0.3485184363500877,0.0,0.957812488079071
15,30720,1194.7423414902821,29,0.3543402757909563,0.35052630860722256,0.0,0.9437500238418579,42.91111111111111,21.962414583123316,4.0,64.0,1.804603986442089,0.1759692346677184,-0.018566327802545857,0.021842275717062876,0.08448888069968381,0.3543402757909563,0.35052630860722256,0.0,0.9437500238418579
16,32768,1162.439126023164,31,0.270937497748269,0.3603175106244252,0.0,0.9296875,47.577777777777776,22.455376875423045,5.0,64.0,1.7940223067998886,0.15420688781887293,0.01594346990896156,0.018632844323292375,0.07614818752976443,0.270937497748269,0.3603175106244252,0.0,0.9296875
17,34816,1589.6479619132992,32,0.24154647688070932,0.3210395198427551,0.0,0.971875011920929,49.92307692307692,19.895089737438973,2.0,64.0,1.7850155048072338,0.1290214117616415,0.0019664580595417647,0.013738276742515154,0.04964980209982299,0.24154647688070932,0.3210395198427551,0.0,0.971875011920929
18,36864,1086.2032912589684,34,0.3834502526691982,0.37979409240148915,0.0,0.9859374761581421,40.795918367346935,23.99147773165376,1.0,64.0,1.7734534479677677,0.15120795834809542,-0.03007791082688982,0.024119639783748426,0.08678462455572342,0.3834502526691982,0.37979409240148915,0.0,0.9859374761581421
19,38912,1158.661423200463,36,0.2849864110998485,0.3603712946020092,0.0,0.9296875,46.82608695652174,22.49956941406936,5.0,64.0,1.780881892889738,0.1261979581322521,-0.011416962595831137,0.020470970775932074,0.07723148310820285,0.2849864110998485,0.3603712946020092,0.0,0.9296875
