Wall time,Step,Value
1753231827.998746,16384,2590.0
1753231840.6061478,32768,1730.0
1753231851.5583785,49152,1644.0
1753231863.4507692,65536,1568.0
1753231876.5711977,81920,1492.0
1753231889.961182,98304,1439.0
1753231904.8003879,114688,1379.0
1753231918.4315238,131072,1354.0
1753231933.8761828,147456,1314.0
1753231947.0190632,163840,1307.0
1753231961.405021,180224,1289.0
1753231975.6180682,196608,1277.0
1753231992.708389,212992,1245.0
1753232014.8215742,229376,1187.0
1753232034.7305052,245760,1153.0
1753232053.119979,262144,1132.0
1753232070.306714,278528,1120.0
1753232087.8878517,294912,1107.0
1753232103.3617783,311296,1105.0
1753232120.8247132,327680,1095.0
1753232137.5150816,344064,1089.0
1753232152.2673082,360448,1090.0
1753232167.3633766,376832,1090.0
1753232182.77801,393216,1088.0
1753232196.6454945,409600,1092.0
1753232210.8330388,425984,1094.0
1753232224.4475734,442368,1098.0
1753232242.0516324,458752,1091.0
1753232255.7476702,475136,1094.0
1753232270.4937274,491520,1095.0
1753232283.0857794,507904,1100.0
1753232297.3559446,524288,1102.0
1753232310.788711,540672,1105.0
1753232324.0717344,557056,1108.0
1753232336.061289,573440,1114.0
1753232349.3430967,589824,1117.0
1753232362.8192596,606208,1120.0
1753232375.475143,622592,1124.0
1753232389.4403827,638976,1125.0
1753232401.5820303,655360,1130.0
1753232415.210175,671744,1131.0
1753232429.1243477,688128,1132.0
1753232441.2176268,704512,1137.0
1753232454.6591794,720896,1138.0
1753232466.6748874,737280,1143.0
1753232480.3610597,753664,1144.0
1753232493.0490022,770048,1146.0
1753232506.6006413,786432,1148.0
1753232520.3676577,802816,1149.0
1753232532.918354,819200,1151.0
1753232546.471295,835584,1152.0
1753232558.470366,851968,1156.0
1753232572.4291248,868352,1156.0
1753232585.223618,884736,1158.0
1753232598.7628362,901120,1159.0
1753232613.139958,917504,1159.0
1753232625.079065,933888,1162.0
1753232638.265472,950272,1163.0
1753232650.4020474,966656,1166.0
1753232664.5220797,983040,1166.0
1753232676.8992364,999424,1168.0
1753232690.30519,1015808,1169.0
1753232704.3170934,1032192,1169.0
1753232716.2539306,1048576,1172.0
1753232729.7039008,1064960,1172.0
1753232742.1034153,1081344,1174.0
1753232755.9915178,1097728,1174.0
1753232768.1908593,1114112,1177.0
1753232781.9600644,1130496,1177.0
1753232796.01718,1146880,1177.0
1753232807.8204465,1163264,1179.0
1753232821.2849922,1179648,1180.0
1753232833.0431523,1196032,1182.0
1753232846.3620892,1212416,1183.0
1753232858.927188,1228800,1184.0
1753232872.2638009,1245184,1185.0
1753232887.064033,1261568,1184.0
1753232899.2303007,1277952,1185.0
1753232913.2202907,1294336,1185.0
1753232925.3420153,1310720,1187.0
1753232939.2409868,1327104,1187.0
1753232951.5004954,1343488,1189.0
1753232965.2093854,1359872,1189.0
1753232978.9725642,1376256,1189.0
1753232990.8061836,1392640,1191.0
1753233004.272762,1409024,1191.0
1753233016.41681,1425408,1193.0
1753233030.5906851,1441792,1192.0
1753233044.1709924,1458176,1192.0
1753233055.9470701,1474560,1194.0
1753233069.4122746,1490944,1194.0
1753233081.3675327,1507328,1196.0
1753233095.3402984,1523712,1196.0
1753233107.2162764,1540096,1198.0
1753233121.1596062,1556480,1197.0
1753233135.067295,1572864,1197.0
1753233147.5826337,1589248,1198.0
1753233161.0547636,1605632,1198.0
1753233173.6123388,1622016,1199.0
1753233188.1837697,1638400,1198.0
1753233199.903318,1654784,1200.0
1753233213.9201264,1671168,1200.0
1753233227.019134,1687552,1200.0
1753233238.22416,1703936,1202.0
1753233251.469792,1720320,1203.0
1753233262.7853632,1736704,1205.0
1753233275.6163778,1753088,1205.0
1753233288.5831602,1769472,1206.0
1753233299.8293352,1785856,1208.0
1753233312.451978,1802240,1208.0
1753233323.5221,1818624,1210.0
1753233336.665768,1835008,1211.0
1753233349.2742333,1851392,1211.0
1753233360.4126537,1867776,1213.0
1753233373.0671716,1884160,1214.0
1753233384.804742,1900544,1215.0
1753233397.5549526,1916928,1216.0
1753233410.2257178,1933312,1217.0
1753233421.0453138,1949696,1219.0
1753233433.6029544,1966080,1219.0
1753233444.5546865,1982464,1221.0
1753233457.0125039,1998848,1222.0
1753233469.5118456,2015232,1222.0
1753233481.4216406,2031616,1224.0
1753233494.227358,2048000,1224.0
1753233505.9207213,2064384,1225.0
1753233519.075847,2080768,1225.0
1753233531.679756,2097152,1226.0
1753233542.655143,2113536,1228.0
1753233555.627889,2129920,1228.0
1753233567.4638743,2146304,1229.0
1753233580.0505528,2162688,1229.0
1753233592.6891153,2179072,1230.0
1753233603.7601066,2195456,1231.0
1753233616.4534352,2211840,1232.0
1753233628.1179612,2228224,1233.0
1753233641.6540184,2244608,1233.0
1753233654.702759,2260992,1233.0
1753233665.7572095,2277376,1234.0
1753233678.61134,2293760,1235.0
1753233690.409214,2310144,1236.0
1753233703.1676002,2326528,1236.0
1753233716.878432,2342912,1236.0
1753233727.9354715,2359296,1237.0
1753233740.610798,2375680,1238.0
1753233752.4081957,2392064,1238.0
1753233764.900707,2408448,1239.0
1753233777.6222637,2424832,1239.0
1753233788.6317782,2441216,1241.0
1753233801.3192472,2457600,1241.0
1753233813.4032454,2473984,1242.0
1753233826.0502822,2490368,1242.0
1753233838.484889,2506752,1242.0
1753233849.8479497,2523136,1244.0
1753233862.736969,2539520,1244.0
1753233874.3783739,2555904,1245.0
1753233886.9299583,2572288,1245.0
1753233899.5935478,2588672,1245.0
1753233910.6767979,2605056,1247.0
1753233923.294022,2621440,1247.0
1753233934.747893,2637824,1248.0
1753233947.7837198,2654208,1248.0
1753233960.4144573,2670592,1248.0
1753233971.225076,2686976,1250.0
1753233983.8022418,2703360,1250.0
1753233996.7932146,2719744,1250.0
1753234007.8077672,2736128,1251.0
1753234020.3552082,2752512,1251.0
1753234031.4201014,2768896,1253.0
1753234044.6430044,2785280,1252.0
1753234057.7387812,2801664,1252.0
1753234068.6757166,2818048,1254.0
1753234082.6377702,2834432,1253.0
1753234095.6506195,2850816,1253.0
1753234108.2328322,2867200,1253.0
1753234119.368604,2883584,1254.0
1753234131.8059163,2899968,1255.0
1753234144.4357388,2916352,1255.0
1753234155.3603575,2932736,1256.0
1753234168.6920118,2949120,1256.0
1753234179.7756777,2965504,1257.0
1753234192.2558866,2981888,1257.0
1753234204.9175444,2998272,1258.0
1753234215.9936514,3014656,1259.0
1753234229.947728,3031040,1258.0
1753234241.0585754,3047424,1259.0
1753234253.6943326,3063808,1259.0
1753234266.3160841,3080192,1259.0
1753234277.89389,3096576,1260.0
1753234291.1657722,3112960,1260.0
1753234303.6977603,3129344,1260.0
1753234314.621366,3145728,1261.0
