Wall time,Step,Value
1753486261.592352,16384,704.0
1753486293.098694,32768,598.0
1753486322.0867019,49152,586.0
1753486345.8658473,65536,609.0
1753486372.8526983,81920,608.0
1753486399.3949335,98304,610.0
1753486426.3451073,114688,609.0
1753486455.4828045,131072,603.0
1753486486.7704077,147456,593.0
1753486513.5328355,163840,595.0
1753486541.6910696,180224,594.0
1753486569.4296136,196608,593.0
1753486596.6256118,212992,594.0
1753486621.2326133,229376,599.0
1753486648.3389702,245760,599.0
1753486675.3391912,262144,599.0
1753486705.0527167,278528,596.0
1753486734.1057684,294912,594.0
1753486758.5945754,311296,598.0
1753486785.1207435,327680,599.0
1753486812.1602416,344064,599.0
1753486840.7187443,360448,598.0
1753486867.663205,376832,598.0
1753486894.1720257,393216,599.0
1753486922.1454008,409600,598.0
1753486948.9112089,425984,599.0
1753486976.7636776,442368,599.0
1753487008.089299,458752,595.0
1753487033.5133715,475136,597.0
1753487064.9901006,491520,594.0
1753487096.6120734,507904,591.0
1753487124.3454316,524288,591.0
1753487152.440921,540672,591.0
1753487180.672917,557056,591.0
1753487205.9315603,573440,592.0
1753487234.0431316,589824,592.0
1753487261.8654647,606208,592.0
1753487289.5020623,622592,592.0
1753487317.1759107,638976,592.0
1753487342.928446,655360,593.0
1753487370.287508,671744,593.0
1753487397.2169182,688128,593.0
1753487425.934909,704512,593.0
1753487453.4431367,720896,593.0
1753487478.5738275,737280,594.0
1753487505.7435699,753664,594.0
1753487532.780523,770048,594.0
1753487559.8752413,786432,595.0
1753487586.8801239,802816,595.0
1753487612.084025,819200,596.0
1753487639.0799747,835584,596.0
1753487666.2165396,851968,596.0
1753487693.5148861,868352,596.0
1753487719.609713,884736,597.0
1753487747.726539,901120,597.0
1753487775.9692557,917504,596.0
1753487804.4242275,933888,596.0
1753487832.572151,950272,596.0
1753487859.7114635,966656,596.0
1753487884.780232,983040,597.0
1753487911.980044,999424,597.0
1753487939.1233344,1015808,597.0
1753487966.274797,1032192,597.0
1753487990.9980865,1048576,598.0
1753488018.0447233,1064960,598.0
1753488045.3874316,1081344,598.0
1753488072.515777,1097728,598.0
1753488097.0928462,1114112,599.0
1753488124.6249702,1130496,599.0
1753488151.851911,1146880,599.0
1753488178.973894,1163264,599.0
1753488206.8537207,1179648,599.0
1753488231.4868793,1196032,600.0
1753488258.877183,1212416,600.0
1753488285.956891,1228800,600.0
1753488313.1847,1245184,600.0
1753488338.3819594,1261568,600.0
1753488365.6233163,1277952,600.0
1753488392.8503118,1294336,600.0
1753488420.274565,1310720,600.0
1753488447.605299,1327104,600.0
1753488472.7402294,1343488,601.0
1753488499.8470337,1359872,601.0
1753488527.1889875,1376256,601.0
1753488554.4946394,1392640,601.0
1753488581.870073,1409024,601.0
1753488607.551504,1425408,601.0
1753488636.0663736,1441792,601.0
1753488664.3620098,1458176,601.0
1753488692.5832095,1474560,600.0
1753488720.9436173,1490944,600.0
1753488746.2108006,1507328,601.0
1753488773.3966858,1523712,601.0
1753488800.606073,1540096,601.0
1753488828.690116,1556480,600.0
1753488856.9738636,1572864,600.0
1753488882.7691271,1589248,600.0
1753488910.4949362,1605632,600.0
1753488938.0858698,1622016,600.0
1753488965.2314808,1638400,600.0
1753488992.4601858,1654784,600.0
1753489017.535852,1671168,601.0
1753489044.9126298,1687552,601.0
1753489071.9236214,1703936,601.0
1753489099.3089635,1720320,601.0
1753489124.8149054,1736704,601.0
1753489152.651308,1753088,601.0
1753489178.254706,1769472,601.0
1753489204.3275547,1785856,602.0
1753489228.5164132,1802240,602.0
1753489254.2139244,1818624,603.0
1753489281.814258,1835008,602.0
1753489307.2533672,1851392,603.0
1753489330.8437822,1867776,603.0
1753489356.3299065,1884160,604.0
1753489382.2399201,1900544,604.0
1753489408.1304283,1916928,604.0
1753489431.5782392,1933312,605.0
1753489457.2225416,1949696,605.0
