Wall time,Step,Value
1753744566.024687,16384,3200.0
1753744579.2022834,32768,1790.0
1753744590.449906,49152,1663.0
1753744602.237365,65536,1585.0
1753744613.8417284,81920,1547.0
1753744626.2516506,98304,1504.0
1753744637.5025406,114688,1497.0
1753744647.7047918,131072,1510.0
1753744659.1301377,147456,1501.0
1753744671.6941428,163840,1478.0
1753744682.545755,180224,1481.0
1753744694.322399,196608,1473.0
1753744704.6556056,212992,1481.0
1753744716.3276975,229376,1475.0
1753744728.6696625,245760,1464.0
1753744739.9974594,262144,1463.0
1753744752.293489,278528,1455.0
1753744764.681088,294912,1447.0
1753744778.1424024,311296,1432.0
1753744792.0799377,327680,1417.0
1753744802.7294958,344064,1422.0
1753744815.3577178,360448,1416.0
1753744828.2000537,376832,1409.0
1753744841.4933665,393216,1401.0
1753744855.4295912,409600,1390.0
1753744866.878398,425984,1392.0
1753744879.3750188,442368,1389.0
1753744891.005634,458752,1389.0
1753744904.0389774,475136,1384.0
1753744917.0863528,491520,1379.0
1753744929.3101368,507904,1378.0
1753744942.1230493,524288,1375.0
1753744954.1707294,540672,1374.0
1753744967.1507123,557056,1371.0
1753744980.6453497,573440,1366.0
1753744994.3400874,589824,1360.0
1753745009.1199954,606208,1352.0
1753745022.663093,622592,1348.0
1753745037.7116303,638976,1340.0
1753745052.253781,655360,1333.0
1753745067.3954732,671744,1326.0
1753745080.4398608,688128,1324.0
1753745096.8703368,704512,1314.0
1753745108.9349494,720896,1315.0
1753745120.6624267,737280,1317.0
1753745132.5618114,753664,1318.0
1753745143.1467214,770048,1322.0
1753745154.7100935,786432,1324.0
1753745166.2458014,802816,1326.0
1753745177.320193,819200,1328.0
1753745188.9016473,835584,1330.0
1753745200.4679756,851968,1332.0
1753745211.2672203,868352,1335.0
1753745222.9317017,884736,1336.0
1753745234.435026,901120,1337.0
1753745245.0208654,917504,1341.0
1753745256.892226,933888,1341.0
1753745267.7534919,950272,1344.0
1753745279.472813,966656,1345.0
1753745292.2364113,983040,1344.0
1753745303.4714468,999424,1345.0
1753745315.1588764,1015808,1346.0
1753745327.0011456,1032192,1347.0
1753745339.4097679,1048576,1346.0
1753745355.3445747,1064960,1340.0
1753745366.6304934,1081344,1342.0
1753745378.9678218,1097728,1341.0
1753745390.3861558,1114112,1343.0
1753745403.037409,1130496,1342.0
1753745415.4712532,1146880,1342.0
1753745426.6796205,1163264,1343.0
1753745439.41588,1179648,1342.0
1753745453.518307,1196032,1339.0
1753745466.1640363,1212416,1339.0
1753745478.4076715,1228800,1339.0
1753745489.371889,1245184,1341.0
1753745501.3211935,1261568,1341.0
1753745513.1931317,1277952,1341.0
1753745524.0704963,1294336,1343.0
1753745536.2471266,1310720,1343.0
1753745546.8629992,1327104,1346.0
1753745558.7286148,1343488,1346.0
1753745571.3279974,1359872,1345.0
1753745582.5830233,1376256,1347.0
1753745594.39876,1392640,1347.0
1753745606.2699425,1409024,1347.0
1753745616.9869323,1425408,1349.0
1753745628.945435,1441792,1349.0
1753745639.604999,1458176,1351.0
1753745651.407629,1474560,1352.0
1753745663.297464,1490944,1352.0
1753745674.3484323,1507328,1353.0
1753745686.1408498,1523712,1354.0
1753745698.1298068,1540096,1354.0
1753745708.8621676,1556480,1355.0
1753745720.9259977,1572864,1355.0
1753745732.8566518,1589248,1356.0
1753745744.1118824,1605632,1357.0
1753745756.3056893,1622016,1356.0
1753745767.1187105,1638400,1358.0
