Wall time,Step,Value
1753804281.4646754,16384,966.0
1753804307.007367,32768,771.0
1753804332.038196,49152,727.0
1753804358.39274,65536,698.0
1753804384.6287282,81920,682.0
1753804408.825513,98304,681.0
1753804432.796627,114688,681.0
1753804457.532302,131072,679.0
1753804480.4615002,147456,682.0
1753804505.6631453,163840,679.0
1753804530.1314073,180224,678.0
1753804552.310961,196608,683.0
1753804576.6392372,212992,682.0
1753804600.912252,229376,681.0
1753804623.585072,245760,684.0
1753804647.337523,262144,684.0
1753804676.1409268,278528,676.0
1753804706.8267577,294912,666.0
1753804736.1282237,311296,660.0
1753804760.9184573,327680,660.0
1753804786.182989,344064,659.0
1753804811.3152695,360448,659.0
1753804838.2643492,376832,656.0
1753804861.675771,393216,658.0
1753804887.1082275,409600,657.0
1753804912.6989105,425984,657.0
1753804935.5128393,442368,659.0
1753804960.8574214,458752,658.0
1753804986.3903801,475136,658.0
1753805014.9608145,491520,654.0
1753805038.9446697,507904,655.0
1753805065.5739946,524288,654.0
1753805095.0722806,540672,650.0
1753805124.319328,557056,647.0
1753805150.7117703,573440,647.0
1753805178.3915076,589824,645.0
1753805209.2785137,606208,641.0
1753805238.6372871,622592,639.0
1753805267.8409848,638976,636.0
1753805296.5329025,655360,635.0
1753805325.7873044,671744,632.0
1753805352.9127538,688128,632.0
1753805384.0061295,704512,629.0
1753805414.3856096,720896,626.0
1753805442.7400541,737280,625.0
1753805471.7548196,753664,624.0
1753805500.4830441,770048,623.0
1753805526.5924652,786432,623.0
1753805555.2134502,802816,621.0
1753805581.8310466,819200,621.0
1753805607.1375866,835584,622.0
1753805630.2037425,851968,623.0
1753805655.4565628,868352,624.0
1753805680.8550816,884736,624.0
1753805703.5493681,901120,626.0
1753805729.2892797,917504,626.0
1753805755.3376043,933888,626.0
1753805780.8843677,950272,626.0
1753805803.7259452,966656,628.0
1753805830.1282392,983040,627.0
1753805856.0295696,999424,627.0
1753805879.5297413,1015808,628.0
1753805906.118079,1032192,628.0
1753805933.1735172,1048576,628.0
1753805959.3347204,1064960,628.0
1753805982.713872,1081344,629.0
1753806010.547124,1097728,628.0
1753806036.8967543,1114112,628.0
1753806063.4563684,1130496,628.0
1753806086.95392,1146880,629.0
1753806112.5023239,1163264,629.0
1753806138.0766265,1179648,629.0
1753806163.8099015,1196032,629.0
1753806186.6099598,1212416,630.0
1753806212.1496158,1228800,630.0
1753806237.8605719,1245184,631.0
1753806260.4112136,1261568,632.0
1753806286.1370895,1277952,632.0
1753806311.7388685,1294336,632.0
1753806334.1456344,1310720,633.0
1753806359.522195,1327104,633.0
1753806385.6539617,1343488,633.0
1753806410.9845972,1359872,633.0
1753806433.5210361,1376256,634.0
1753806459.1545079,1392640,634.0
1753806484.7748706,1409024,634.0
1753806506.9327075,1425408,635.0
1753806533.8745074,1441792,635.0
1753806559.724885,1458176,635.0
1753806584.7233257,1474560,635.0
1753806607.7668097,1490944,636.0
1753806633.031779,1507328,636.0
1753806658.2827876,1523712,636.0
1753806681.1886873,1540096,637.0
1753806706.5423923,1556480,637.0
1753806732.2096164,1572864,637.0
1753806754.6341007,1589248,638.0
1753806780.355347,1605632,638.0
1753806805.7474089,1622016,638.0
1753806831.077002,1638400,638.0
1753806853.822854,1654784,639.0
1753806879.3004878,1671168,639.0
1753806905.1686523,1687552,639.0
1753806927.8144317,1703936,639.0
1753806953.177814,1720320,639.0
1753806978.8711898,1736704,639.0
1753807004.390635,1753088,639.0
1753807027.449103,1769472,640.0
1753807052.991061,1785856,640.0
1753807078.6655285,1802240,640.0
1753807101.2455015,1818624,641.0
1753807126.4007003,1835008,641.0
1753807152.5194213,1851392,641.0
1753807175.2090974,1867776,641.0
1753807200.392643,1884160,641.0
1753807225.8366163,1900544,641.0
1753807251.3882625,1916928,641.0
1753807274.51249,1933312,642.0
1753807300.1380682,1949696,642.0
1753807326.243372,1966080,642.0
1753807348.9493456,1982464,642.0
1753807374.8412738,1998848,642.0
1753807400.72464,2015232,642.0
1753807426.4212186,2031616,642.0
1753807449.160974,2048000,643.0
1753807474.600442,2064384,643.0
1753807502.0127523,2080768,642.0
1753807524.6984644,2097152,643.0
1753807551.1638784,2113536,643.0
1753807577.3415956,2129920,642.0
1753807603.0759444,2146304,642.0
1753807625.7586904,2162688,643.0
1753807651.24229,2179072,643.0
1753807679.8967252,2195456,642.0
1753807705.0814636,2211840,642.0
1753807727.9039426,2228224,643.0
1753807754.243148,2244608,643.0
1753807779.5434477,2260992,643.0
1753807801.9968467,2277376,643.0
1753807828.1714563,2293760,643.0
1753807853.257857,2310144,643.0
1753807878.9440043,2326528,643.0
1753807901.5187354,2342912,644.0
1753807927.2564583,2359296,644.0
1753807952.7392805,2375680,644.0
1753807975.426234,2392064,644.0
1753808001.1037543,2408448,644.0
1753808027.0700562,2424832,644.0
1753808049.467486,2441216,644.0
1753808075.271736,2457600,644.0
1753808100.3823624,2473984,644.0
